"ID";"Gender";"Age";"Agegroups";"Income";"Region";"c_0004";"tcc";"tht";"D4_1A";"D4_1B";"CT";"v_762";"v_784";"AS_1";"AS_3";"AP_1";"AP_3";"EPS1";"EPS3";"EPP1";"EPP3";"FPS1";"FPS3";"FPP1";"FPP3";"CPS1";"CPS3";"CPP1";"CPP3";"int1";"int2";"MC1";"MC2";"UT";"D1";"AC1";"CR1";"K1_1";"K1_2";"K1_3";"K1_4";"K1_5";"K1_6";"K1_7";"K1_8";"K1_9";"SN_1";"SN_2";"SN_3";"SNN_2";"WB5";"DN_1";"DN_2";"DN_7";"SO1_3";"CCD_1";"CCD_2";"CCD_3";"SD4";"SD9_1";"SD9_2";"SD9_2a";"SD9_3";"PO1";"PO2";"PO3";"PO4";"PO5";"income_detailed";"SDS_1";"SDS_2";"SDS_3";"SDS_4";"SDS_5";"SDS_6";"SDS_7";"SD5"
7973;2;40;2;2;12;2;75;0;3;5;1;1;-77;4;5;2;5;3;5;3;4;3;5;3;5;4;3;4;3;3;6;4;4;3;3;8;1;4;4;4;4;4;4;4;4;4;3;3;3;4;2;1;1;1;4;1;1;1;5;-99;-99;-99;1;2;3;1;2;5;4;2;4;4;2;5;6;1;1
7974;2;32;2;2;7;2;69;0;4;4;1;1;-77;3;5;1;3;2;5;1;4;2;4;1;1;2;2;3;2;3;4;3;4;1;2;8;1;3;3;3;4;3;4;4;3;4;3;2;4;2;3;2;2;2;4;2;2;3;3;-99;-99;-99;2;3;3;3;3;3;5;5;5;4;2;5;5;3;2
7975;2;61;4;2;11;2;89;0;2;4;1;1;-77;1;4;1;4;3;3;2;4;1;4;1;4;3;3;2;2;2;4;4;4;1;3;8;1;1;1;2;4;2;2;4;4;1;3;4;3;4;2;1;1;1;4;2;3;2;4;0;0;0;2;3;3;3;3;3;5;3;5;5;2;6;6;3;5
7976;2;58;3;2;11;1;69;82;2;3;1;1;1;3;5;3;5;3;4;2;4;3;3;2;3;3;3;5;3;2;3;4;5;2;3;8;2;1;1;1;3;1;3;3;4;3;3;3;3;4;3;1;2;1;4;1;1;2;3;0;0;0;1;4;2;4;2;3;4;4;4;7;2;6;7;1;1
7980;2;65;4;3;12;2;74;0;6;6;1;1;-77;1;2;1;3;1;3;3;3;1;2;1;2;3;3;2;2;6;6;2;2;1;2;8;1;3;2;2;4;1;1;1;3;1;1;1;1;5;4;1;1;1;4;3;3;4;3;0;0;0;2;4;3;3;3;1;6;3;4;5;2;5;4;3;7
7982;2;49;3;5;13;1;340;385;2;2;1;1;1;3;3;3;3;3;3;3;3;4;4;4;4;3;3;3;3;5;5;4;3;6;2;8;1;1;1;1;1;1;1;1;1;1;2;2;2;3;3;3;3;3;4;4;4;4;5;-99;-99;-99;2;1;1;1;1;1;11;5;5;5;2;5;5;5;1
7986;1;61;4;1;7;1;63;78;5;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;6;2;3;2;2;8;1;1;1;1;1;1;1;1;1;1;3;1;1;5;3;1;1;1;4;3;4;4;5;-99;1;-99;1;2;4;4;5;1;1;1;1;4;2;7;7;1;2
7987;1;62;4;2;6;2;63;0;6;6;1;1;-77;3;5;3;5;3;5;3;5;3;4;3;5;4;3;4;2;6;6;3;3;1;2;8;1;3;2;1;4;1;1;3;4;1;3;3;3;4;4;1;1;1;4;2;2;4;3;0;0;0;2;4;3;2;3;4;4;2;3;6;2;6;7;2;7
7991;1;70;4;4;13;1;72;88;3;3;1;1;1;5;5;2;4;4;5;4;4;5;5;5;5;3;3;2;3;2;2;5;5;6;2;8;1;3;4;4;4;4;4;4;5;5;4;5;4;4;4;1;1;1;4;1;1;1;5;0;0;0;1;5;5;1;1;5;9;2;2;5;2;5;5;2;7
7992;2;67;4;1;1;1;43;51;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;5;5;1;1;1;2;8;1;3;1;3;5;3;3;2;3;2;3;3;3;3;2;1;1;1;4;5;5;5;5;-99;-99;-99;2;1;1;1;1;1;1;6;4;7;2;5;7;4;7
7996;1;33;2;4;2;2;57;0;6;6;1;1;-77;3;4;2;4;2;5;2;5;4;4;4;4;2;2;1;3;6;5;3;3;3;2;8;2;3;4;3;3;3;4;3;3;3;3;3;3;3;3;3;2;1;4;2;2;2;5;-99;-99;-99;1;3;3;4;3;4;7;3;3;5;2;4;4;4;1
7999;2;42;2;2;9;1;112;115;3;3;1;1;1;3;3;3;2;3;2;3;3;3;3;3;3;3;3;3;3;1;1;3;3;3;3;8;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;1;1;1;4;3;3;3;3;1;-99;1;1;3;3;3;3;3;1;4;4;4;2;4;4;4;5
8000;2;31;2;2;8;1;201;799;4;8;1;1;1;3;5;4;4;4;5;5;5;3;3;3;3;4;3;3;4;4;8;3;2;5;2;8;2;4;3;4;3;3;4;4;3;4;2;3;3;4;3;2;2;2;4;4;3;4;5;-99;-99;2;2;3;4;5;4;5;5;5;4;4;2;6;4;1;1
8004;2;61;4;1;7;1;150;166;4;5;1;1;1;1;4;1;3;2;4;2;4;1;4;1;4;4;3;5;2;3;3;3;3;2;2;8;1;2;1;2;3;1;2;4;4;2;3;2;1;4;2;4;4;3;4;2;1;1;4;-99;-99;-99;1;4;4;2;3;4;2;1;5;4;2;6;6;1;2
8006;1;66;4;2;3;2;82;0;2;5;1;1;-77;1;4;1;4;1;1;1;1;1;3;1;3;5;3;5;3;3;5;1;1;2;3;8;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;1;1;4;2;2;2;3;-99;-99;-99;2;4;2;3;2;1;4;1;5;4;2;5;7;1;7
8008;1;45;2;3;1;2;103;0;5;6;1;1;-77;2;5;2;5;2;5;2;5;1;5;1;5;3;2;3;2;5;4;4;4;2;3;8;2;3;3;2;2;1;3;4;3;1;3;4;2;4;4;1;1;1;4;1;1;1;5;0;0;0;2;4;2;4;3;3;7;1;2;5;2;5;6;3;1
8009;1;59;3;3;11;2;153;0;5;5;1;1;-77;4;5;4;5;5;4;5;4;3;4;2;4;4;3;4;2;5;5;3;3;3;2;8;4;3;3;3;3;3;3;3;3;3;3;4;4;4;4;1;1;1;4;1;1;1;4;-99;-99;-99;1;5;5;1;1;5;6;3;4;4;2;4;5;2;1
8010;1;52;3;1;7;2;100;0;5;4;1;1;-77;1;3;1;3;1;3;1;3;1;3;1;3;5;3;5;3;6;6;3;3;7;2;8;1;1;1;1;1;1;1;1;1;1;3;3;3;3;5;1;1;1;4;1;1;1;4;0;1;1;2;1;1;1;2;1;2;1;1;7;2;7;7;1;2
8015;2;51;3;3;11;2;86;0;4;5;1;1;-77;2;5;2;5;4;1;5;5;1;5;1;5;4;3;4;1;4;5;2;2;1;2;8;1;1;1;1;1;1;1;1;1;1;3;3;3;5;4;1;1;1;4;1;1;1;3;-99;-99;-99;2;4;3;3;3;3;6;1;4;5;2;6;7;1;2
8017;1;58;3;3;8;1;102;126;5;6;1;1;1;1;3;1;4;2;3;2;3;2;3;1;2;4;3;4;3;5;6;4;4;3;3;8;1;3;2;3;4;2;2;2;4;2;3;2;2;5;3;1;1;1;4;1;1;1;3;0;0;0;1;3;4;2;3;4;5;2;4;5;2;5;5;4;2
8018;2;73;4;1;1;2;89;0;4;5;1;1;-77;1;5;1;5;5;5;5;5;1;5;1;5;4;3;4;3;4;4;4;4;3;3;8;1;2;2;3;4;2;2;3;4;3;3;3;4;3;4;3;2;2;4;1;1;1;5;-99;-99;-99;1;5;3;4;3;5;4;1;2;5;2;5;7;1;7
