"ID";"Gender";"Age";"Agegroups";"Income";"Region";"c_0004";"tcc";"tht";"D4_1A";"D4_1B";"CT";"v_762";"v_784";"AS_1";"AS_3";"AP_1";"AP_3";"EPS1";"EPS3";"EPP1";"EPP3";"FPS1";"FPS3";"FPP1";"FPP3";"CPS1";"CPS3";"CPP1";"CPP3";"int1";"int2";"MC1";"MC2";"UT";"D1";"AC1";"CR1";"K1_1";"K1_2";"K1_3";"K1_4";"K1_5";"K1_6";"K1_7";"K1_8";"K1_9";"SN_1";"SN_2";"SN_3";"SNN_2";"WB5";"DN_1";"DN_2";"DN_7";"SO1_3";"CCD_1";"CCD_2";"CCD_3";"SD4";"SD9_1";"SD9_2";"SD9_2a";"SD9_3";"PO1";"PO2";"PO3";"PO4";"PO5";"income_detailed";"SDS_1";"SDS_2";"SDS_3";"SDS_4";"SDS_5";"SDS_6";"SDS_7";"SD5"
7381;1;46;3;4;20;1;69;74;1;2;1;1;1;5;5;5;5;3;3;4;4;4;5;4;5;3;3;2;3;1;1;5;5;4;4;8;5;3;3;2;2;1;3;3;3;2;4;3;4;5;5;1;1;1;4;1;1;2;5;-99;-99;2;2;1;4;1;4;5;7;1;4;4;2;6;5;5;1
7393;1;55;3;5;5;1;123;132;3;6;1;1;1;5;4;4;4;4;3;4;4;4;3;4;4;2;2;1;2;2;5;3;5;6;3;8;2;5;5;3;3;2;4;4;5;4;4;5;4;4;4;1;1;1;4;1;1;1;4;-99;-99;-99;5;2;3;3;3;3;13;1;4;5;2;4;5;2;8
7396;2;33;2;5;9;1;88;105;5;6;1;1;1;1;3;2;3;3;4;3;3;1;4;1;4;3;3;3;2;4;6;2;3;3;2;8;3;1;2;1;1;1;2;2;3;2;2;3;3;3;5;1;1;1;4;1;1;1;5;-99;-99;-99;1;2;4;2;3;3;11;6;3;6;2;6;6;3;1
7399;2;64;4;1;9;1;80;102;3;4;1;1;1;2;3;2;3;1;3;2;2;1;3;1;3;3;3;4;3;2;4;4;4;2;2;8;1;3;3;3;4;2;2;3;3;2;3;4;4;4;NA;1;1;1;4;4;4;4;3;-99;-99;-99;1;4;3;3;4;3;3;2;3;5;2;5;6;3;5
7401;1;48;3;2;13;2;155;0;5;5;1;1;-77;2;3;2;3;2;2;2;2;2;3;2;3;3;3;3;3;5;5;2;2;2;2;8;1;2;2;3;2;2;3;2;3;2;3;3;2;4;4;1;1;1;4;2;2;2;3;-99;-99;1;3;3;4;3;3;4;4;3;3;4;2;5;6;1;1
7405;2;46;3;5;7;1;42;50;5;5;1;1;1;1;5;1;5;1;5;4;5;1;5;1;5;3;2;2;2;5;5;4;4;3;2;8;2;3;3;3;3;2;1;3;3;3;2;2;2;3;5;1;1;1;4;1;1;1;5;-99;-99;1;2;4;3;4;2;3;11;3;4;4;2;6;6;3;1
7409;2;46;3;4;7;1;209;218;5;6;1;1;1;4;4;3;4;4;4;4;4;3;4;3;4;4;3;3;3;6;6;2;3;1;2;8;1;3;3;2;3;4;3;3;2;3;4;NA;3;4;4;1;1;1;4;2;2;2;5;-99;1;-99;3;2;3;2;4;3;8;5;5;5;5;5;6;6;1
7410;2;54;3;3;16;2;553;0;4;5;1;1;-77;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;4;5;1;1;7;2;8;2;1;1;1;1;1;1;1;1;1;1;1;1;5;4;4;4;4;4;5;5;5;5;-99;-99;-99;2;1;1;1;1;1;5;5;1;7;2;4;7;3;3
7411;1;54;3;4;7;1;109;121;5;5;1;1;1;2;5;2;4;1;3;3;4;1;4;2;4;2;3;2;2;3;4;5;4;3;3;8;2;2;2;2;3;2;3;4;3;2;3;4;3;2;4;1;1;1;4;1;2;2;5;-99;-99;-99;1;3;4;2;5;4;8;1;2;5;2;5;6;2;3
7412;1;47;3;1;7;2;67;0;4;3;1;1;-77;2;3;2;3;3;4;3;4;2;3;2;3;2;3;2;3;2;3;3;3;3;3;8;1;3;3;3;2;2;2;3;3;3;3;2;3;4;3;1;4;1;4;4;3;3;3;-99;-99;-99;3;3;3;99;99;99;3;2;4;4;2;5;6;1;6
