"ID";"Gender";"Age";"Agegroups";"Income";"Region";"c_0004";"tcc";"tht";"D4_1A";"D4_1B";"CT";"v_762";"v_784";"AS_1";"AS_3";"AP_1";"AP_3";"EPS1";"EPS3";"EPP1";"EPP3";"FPS1";"FPS3";"FPP1";"FPP3";"CPS1";"CPS3";"CPP1";"CPP3";"int1";"int2";"MC1";"MC2";"UT";"D1";"AC1";"CR1";"K1_1";"K1_2";"K1_3";"K1_4";"K1_5";"K1_6";"K1_7";"K1_8";"K1_9";"SN_1";"SN_2";"SN_3";"SNN_2";"WB5";"DN_1";"DN_2";"DN_7";"SO1_3";"CCD_1";"CCD_2";"CCD_3";"SD4";"SD9_1";"SD9_2";"SD9_2a";"SD9_3";"PO1";"PO2";"PO3";"PO4";"PO5";"income_detailed";"SDS_1";"SDS_2";"SDS_3";"SDS_4";"SDS_5";"SDS_6";"SDS_7";"SD5"
3866;1;45;2;2;2;2;74;0;6;6;1;1;-77;1;1;1;2;1;2;1;2;1;3;1;3;4;3;4;3;6;6;3;3;2;2;8;2;3;3;3;3;3;3;3;3;3;3;3;2;5;3;1;1;1;4;1;1;1;5;-99;-99;2;2;4;99;99;99;3;3;5;4;4;2;5;4;5;1
3883;2;39;2;2;4;2;184;0;1;4;3;1;-77;1;4;1;4;5;3;5;3;2;4;2;4;4;3;4;2;4;4;1;1;2;3;8;1;1;1;1;1;1;1;1;1;1;3;3;3;5;2;3;4;1;4;1;3;4;99;0;0;0;1;2;3;3;5;4;2;4;2;6;2;5;6;2;3
3892;2;33;2;3;4;2;699;0;3;4;1;1;-77;2;5;1;3;4;4;4;4;4;5;1;4;4;2;4;3;2;3;3;3;4;3;8;4;3;3;3;4;2;4;1;2;4;3;5;2;3;4;2;2;1;4;1;1;1;5;-99;-99;-99;1;3;4;3;3;5;5;4;6;6;2;6;6;5;8
3901;1;53;3;3;5;2;147;0;2;6;1;1;-77;1;4;2;4;3;4;2;4;2;4;2;4;4;2;4;2;2;6;1;3;2;2;8;1;1;1;1;2;1;1;1;1;1;4;1;1;5;4;1;1;1;4;3;3;4;3;-99;-99;-99;3;4;4;3;99;4;5;6;4;5;2;6;6;4;1
4005;1;51;3;2;4;1;81;93;4;3;1;1;1;1;2;1;2;4;4;4;3;1;3;1;4;4;3;4;2;6;5;2;2;1;2;8;1;2;1;1;2;1;2;1;1;1;2;3;2;5;4;1;1;1;1;2;2;1;3;-99;-99;-99;2;1;2;3;3;4;3;6;6;7;2;7;5;6;7
4138;2;45;2;3;1;2;150;0;6;6;1;1;-77;2;2;2;1;2;2;4;2;2;2;2;2;4;3;4;3;6;6;2;2;3;2;8;3;2;2;2;2;2;2;2;2;2;1;1;1;5;4;1;1;1;5;2;2;2;4;-99;-99;-99;1;4;4;3;4;4;5;5;5;5;2;3;5;5;1
4208;2;46;3;2;6;1;83;103;4;4;1;1;1;2;4;2;4;2;4;2;4;2;4;2;4;4;2;4;2;4;4;3;3;3;2;8;3;3;3;3;3;3;3;3;3;3;3;2;2;3;4;1;1;1;4;2;2;2;3;-99;1;2;2;4;4;3;3;3;3;5;4;5;2;4;5;5;5
4235;1;61;4;2;1;2;125;0;6;3;3;2;-77;1;1;1;1;2;3;3;3;2;3;3;3;3;3;5;4;6;4;3;3;2;2;8;3;1;1;1;1;1;1;1;2;1;2;3;3;3;4;1;1;1;4;5;2;2;3;-99;-99;-99;2;3;3;3;3;3;5;4;4;4;2;5;5;1;1
4242;2;53;3;2;2;1;161;186;5;6;1;1;1;1;4;2;4;3;3;3;3;2;3;2;3;4;3;4;3;4;6;3;3;4;2;8;1;2;2;1;1;1;2;1;2;1;3;3;3;4;3;1;1;1;4;4;4;4;4;0;0;0;2;3;4;4;2;3;4;4;3;5;2;5;6;4;8
4276;2;58;3;2;2;2;143;0;6;5;1;1;-77;1;3;2;3;3;3;3;3;2;3;2;3;4;3;4;3;6;5;3;3;7;2;8;2;2;2;2;2;1;1;2;2;1;2;3;3;4;2;3;1;1;4;4;3;3;4;-99;-99;-99;3;3;3;3;3;3;3;4;3;5;2;4;3;4;1
4300;2;53;3;2;4;1;156;179;6;6;1;1;1;2;4;4;5;4;3;4;4;4;5;4;5;4;3;4;2;5;6;4;4;4;2;8;2;2;2;2;2;2;2;2;2;2;2;3;2;4;3;1;1;1;4;2;2;2;3;-99;-99;-99;2;5;4;4;3;4;4;6;4;5;2;5;6;5;6
4302;1;58;3;2;1;2;135;0;5;5;1;1;-77;1;3;1;3;1;3;3;3;1;3;1;3;5;3;5;3;5;5;3;3;7;2;8;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;4;5;5;5;5;-99;-99;-99;1;3;3;3;3;3;3;4;4;4;2;3;4;4;1
4306;2;49;3;2;6;2;68;0;6;4;3;1;-77;2;4;2;4;2;4;3;4;3;3;3;3;3;3;3;3;4;4;2;2;1;2;8;2;3;3;2;2;2;3;3;2;2;3;3;3;3;4;1;1;1;4;2;3;3;4;0;0;0;2;3;3;3;3;3;99;4;3;4;2;5;5;2;1
4356;2;50;3;2;6;1;148;177;5;5;1;1;1;1;1;2;1;3;3;3;2;1;2;3;2;5;4;4;4;5;4;2;2;1;2;8;3;3;3;2;3;3;3;2;4;3;3;2;2;2;2;4;1;1;4;4;2;4;4;-99;-99;-99;4;3;99;99;2;3;99;4;4;5;2;6;5;4;8
4382;1;65;4;2;4;2;65;0;1;4;1;1;-77;2;4;3;4;1;2;NA;3;1;1;1;4;5;3;5;2;1;4;3;3;4;3;8;1;1;1;2;1;1;1;2;1;1;2;3;5;3;4;3;4;3;5;1;1;1;3;-99;-99;-99;2;5;4;3;4;5;3;3;5;6;2;3;6;7;7
4394;2;59;3;2;1;1;1163;1180;3;6;1;1;1;2;4;4;4;5;5;4;3;2;4;2;4;4;2;4;2;4;6;3;4;6;2;8;4;1;1;2;2;2;2;2;2;1;3;4;3;4;2;3;1;1;4;4;4;4;5;2;-99;1;3;4;4;3;3;3;99;5;6;5;2;6;4;5;1
4406;1;52;3;2;6;2;144;0;4;2;1;1;-77;5;5;3;3;4;4;3;3;4;4;4;4;4;3;4;4;3;2;3;4;4;3;8;2;3;2;2;2;2;2;2;2;2;4;4;3;4;4;1;1;1;4;1;1;2;5;0;0;0;1;5;4;4;3;4;4;3;4;4;2;3;5;4;1
